"","matchid","learning_time","learning_num","binary_learning"
"1","528388454",0,0,0
"2","468200672",49.261,3,1
"3","452517223",8.299,1,1
"4","391113129",0,0,0
"5","794033209",15.096,2,1
"6","710967616",204.701,5,1
"7","348736890",143.075,4,1
"8","720842308",31.226,2,1
"9","936894349",39.138,3,1
"10","345373818",61.409,4,1
"11","753062614",90.078,4,1
"12","568989169",81.21,5,1
"13","979927617",58.432,2,1
"14","466545936",66.924,4,1
"15","115961723",185.543,12,1
"16","658667827",0,0,0
"17","427741988",17.753,1,1
"18","799620131",152.741,5,1
"19","223625087",207.738,12,1
"20","498827597",102.994,4,1
"21","626284952",280.778,5,1
"22","183467112",316.34,7,1
"23","18517305",4.249,0,1
"24","304252289",129.537,6,1
"25","174562712",120.556,3,1
"26","278379036",112.402,5,1
"27","979562588",0,0,0
"28","212939718",40.992,2,1
"29","644777228",242.113,12,1
"30","255929172",61.027,3,1
"31","48686046",164.704,5,1
"32","275338431",0,0,0
"33","29010900",57.246,3,1
"34","908405830",494.704,12,1
"35","775307143",220.46,12,1
"36","354986609",0,0,0
"37","145413863",54.851,12,1
"38","759058254",167.425,9,1
"39","950553397",273.128,9,1
"40","181520921",81.046,3,1
"41","785941266",17.97,1,1
"42","255906801",156.791,12,1
"43","919178005",73.376,4,1
"44","24751631",65.382,4,1
"45","227144025",54.66,3,1
"46","853402928",81.666,6,1
"47","88133027",60.52,2,1
"48","555946006",361.65,7,1
"49","77122112",11.357,1,1
"50","63041883",146.031,3,1
"51","603647385",111.145,6,1
"52","133281312",11.807,1,1
"53","49184932",12.627,1,1
"54","962680748",172.789,4,1
"55","617586500",0,0,0
"56","336523009",64.375,4,1
"57","350261093",62.316,12,1
"58","536972368",368.612,12,1
"59","361833718",276.185,12,1
"60","942814636",47.162,3,1
"61","10938881",13.315,1,1
"62","97298681",270.929,12,1
"63","498769973",437.034,9,1
"64","793454540",72.045,4,1
"65","946288663",0,0,0
"66","911475060",20.254,3,1
"67","355004894",55.684,4,1
"68","141293910",68.424,4,1
"69","532589928",69.596,4,1
"70","377020925",16.77,1,1
"71","227012505",30.391,1,1
"72","275892",110.602,3,1
"73","340651994",63.848,3,1
"74","822275980",113.652,3,1
"75","688729452",214.167,7,1
"76","959390242",709.809,12,1
